id,language,original_text,translation_human,translation_google
1,Finnish,A fine day like this made her impatient.,Tällainen upea päivä sai hänet kärsimättömäksi.,Tällainen hieno päivä sai hänet kärsimättömäksi.
2,Finnish,"In high summer, my sister an I were not allowed out of the house.",Emme päässeet kesällä ulos.,Keskikesällä siskoni ja minua ei päästetty ulos kotoa.
3,Finnish,She was forbidden to help.,Auttaa hän ei saanut.,Häntä kiellettiin auttamasta.
4,Finnish,As though she were the one who was imposing unpleasant ordeals on a helpless little fellow.,"Ikään kuin juuri Briony olisiki ollut se, joka yritti pakotta avutonta pikkumiestä epämieluisiin koettelemuksiin.","Ikään kuin hän olisi se, joka asetti epämiellyttäviä koettelemuksia avuttomalle pienelle miehelle."
5,Finnish,He let the greatcoat fall on the ground.,Hän päästi manttelinsa putoamaan maahan.,Hän antoi takin pudota maahan.
6,Finnish,The accumulated inactivity of the summer weeks since finals also hurried her along.,"Kai hän kiiruhti askeliaan siksikin, että oli ollut toimettomana kaikki nämä loppukokeiden jälkeiset kesäiset viikot.",Myös finaalien jälkeen kertynyt kesäviikkojen passiivisuus kiihdytti häntä mukaan.
7,Finnish,Being at odds with her father about anything at all made her uncomfortable.,Hänestä tuntui kovin epämukavalta joutua ylipäänsä minkäänlaiseen hakaukseen isän kanssa.,Ristiriidat isänsä kanssa ylipäänsä mistä tahansa sai hänet epämukavaksi.
8,Finnish,Emily let her thoughts move away from her eldest daughter.,Emily antoi ajatustensa siirtyä pois vanhemmasta tyttärestä.,Emily antoi ajatustensa siirtyä pois vanhimmasta tyttärestään.
9,Finnish,Perhaps I should have written Leon a story.,Miksen kirjoittanut Leonille tarinaa?,Ehkä minun olisi pitänyt kirjoittaa Leonille tarina.
10,Finnish,I suppose we should start by reading it.,Luetaan se näytelmä.,"Luulen, että meidän pitäisi aloittaa lukemalla se."
